product_category,product_rating,total_reviews,purchased_last_month,discounted_price,original_price,is_best_seller,is_sponsored,has_coupon,delivery_date,sustainability_tags,data_collected_at,discount_percentage
Cameras,4.7,7235,500,69.95,69.95,No Badge,Sponsored,No Coupon,8/29/2025,Small Business,8/21/2025 11:14,0
Cameras,4.7,7235,500,69.95,69.95,No Badge,Sponsored,No Coupon,8/29/2025,Small Business,8/21/2025 11:15,0
Cameras,4.6,18811,20000,34.99,39.99,No Badge,Organic,No Coupon,9/1/2025,,8/21/2025 11:15,12.5
Cameras,4.7,3724,10000,60.5,60.5,Best Seller,Organic,No Coupon,8/28/2025,,8/21/2025 11:15,0
Cameras,4.7,7235,500,69.95,69.95,No Badge,Sponsored,No Coupon,9/1/2025,Small Business,8/21/2025 11:15,0
Cameras,4.7,7235,500,69.95,69.95,No Badge,Sponsored,No Coupon,9/1/2025,Small Business,8/21/2025 11:15,0
Cameras,4.7,7235,500,69.95,69.95,No Badge,Sponsored,No Coupon,9/1/2025,Small Business,8/21/2025 11:16,0
Cameras,3.9,30709,10000,54,86.99,No Badge,Organic,No Coupon,9/1/2025,,8/21/2025 11:16,37.92
Cameras,4.6,3915,2000,968,968,No Badge,Organic,No Coupon,9/1/2025,,8/21/2025 11:16,0
Cameras,4.6,12469,10000,16.99,17.99,No Badge,Organic,No Coupon,9/1/2025,,8/21/2025 11:16,5.56
Cameras,4.7,27637,10000,24.48,29.99,No Badge,Organic,No Coupon,9/1/2025,,8/21/2025 11:16,18.37
Cameras,4.7,7235,500,69.95,69.95,No Badge,Sponsored,No Coupon,9/1/2025,Small Business,8/21/2025 11:17,0
Cameras,4.6,69726,9000,33.29,35.99,No Badge,Organic,No Coupon,9/1/2025,,8/21/2025 11:17,7.5
Cameras,4.2,3651,6000,99.99,129.99,No Badge,Organic,No Coupon,8/29/2025,,8/21/2025 11:17,23.08
Cameras,4.4,38090,10000,21.99,24.99,Best Seller,Organic,No Coupon,9/1/2025,Works with Alexa,8/21/2025 11:17,12
Cameras,4.6,380,5000,68.88,76.89,Amazon's,Organic,No Coupon,9/1/2025,,8/21/2025 11:17,10.42
Cameras,4,13544,5000,74,107.99,No Badge,Organic,No Coupon,9/1/2025,Works with Alexa,8/21/2025 11:17,31.48
Cameras,4.4,7755,9000,35.98,35.98,No Badge,Organic,No Coupon,9/1/2025,Works with Alexa,8/21/2025 11:17,0
Cameras,4.7,7235,500,69.95,69.95,No Badge,Sponsored,No Coupon,9/1/2025,Small Business,8/21/2025 11:17,0
Cameras,4.4,4319,3000,129.99,149.99,No Badge,Organic,No Coupon,,,8/21/2025 11:17,13.33
Cameras,4.7,7235,500,69.95,69.95,No Badge,Sponsored,No Coupon,9/1/2025,Small Business,8/21/2025 11:18,0
Cameras,4.6,391,6000,34.99,37.99,No Badge,Organic,No Coupon,9/1/2025,,8/21/2025 11:18,7.9
Cameras,4.5,1291,2000,449,449,No Badge,Organic,No Coupon,9/1/2025,,8/21/2025 11:18,0
Cameras,4.4,6634,2000,289,289,No Badge,Organic,No Coupon,8/28/2025,,8/21/2025 11:18,0
Cameras,4.7,7235,500,69.95,69.95,No Badge,Sponsored,No Coupon,9/1/2025,Small Business,8/21/2025 11:18,0
Cameras,4.7,7235,500,69.95,69.95,No Badge,Sponsored,No Coupon,9/1/2025,Small Business,8/21/2025 11:18,0
Cameras,4.6,17396,3000,130.9,199.99,No Badge,Organic,No Coupon,9/1/2025,,8/21/2025 11:18,34.55
Cameras,4.4,658,2000,194.95,194.95,No Badge,Organic,No Coupon,9/1/2025,,8/21/2025 11:18,0
Cameras,4.7,7235,500,69.95,69.95,No Badge,Sponsored,No Coupon,9/1/2025,Small Business,8/21/2025 11:18,0
Cameras,4.7,7235,500,69.95,69.95,No Badge,Sponsored,No Coupon,9/1/2025,Small Business,8/21/2025 11:19,0
Cameras,4.7,7235,500,69.95,69.95,No Badge,Sponsored,No Coupon,9/1/2025,Small Business,8/21/2025 11:19,0
Cameras,4.5,1204,1000,429,429,No Badge,Organic,No Coupon,9/1/2025,,8/21/2025 11:19,0
